regime_pool,backbone,n_cases,factuality_mean,factuality_ci_lo,factuality_ci_hi,groundedness_mean,groundedness_ci_lo,groundedness_ci_hi,abstain_appropriateness_mean,abstain_appropriateness_ci_lo,abstain_appropriateness_ci_hi,safety_mean,safety_ci_lo,safety_ci_hi,patient_utility_mean,patient_utility_ci_lo,patient_utility_ci_hi
broad_84,Qwen/Qwen2.5-3B-Instruct,84,3.0595238095238093,2.8095238095238093,3.3214285714285716,3.0595238095238093,2.8035714285714284,3.3154761904761907,3.1547619047619047,2.9107142857142856,3.4047619047619047,4.184523809523809,4.017857142857143,4.351190476190476,3.3095238095238093,3.125,3.488095238095238
broad_84,Qwen/Qwen2.5-7B-Instruct,84,4.023809523809524,3.8035714285714284,4.238095238095238,3.994047619047619,3.7857142857142856,4.196428571428571,4.113095238095238,3.9107142857142856,4.321428571428571,4.696428571428571,4.589285714285714,4.7976190476190474,3.9166666666666665,3.75,4.083333333333333
broad_84,meta-llama/Meta-Llama-3.1-8B-Instruct,84,3.6845238095238093,3.4345238095238093,3.9226190476190474,3.6904761904761907,3.4583333333333335,3.9107142857142856,3.7023809523809526,3.4166666666666665,3.9642857142857144,4.523809523809524,4.386904761904762,4.654761904761905,3.642857142857143,3.4523809523809526,3.8273809523809526
broad_84,mistralai/Mistral-7B-Instruct-v0.3,84,2.5892857142857144,2.380952380952381,2.8035714285714284,2.6964285714285716,2.511904761904762,2.886904761904762,2.7083333333333335,2.482142857142857,2.9346726190476167,4.053571428571429,3.886904761904762,4.214285714285714,2.886904761904762,2.7438988095238095,3.0357142857142856
curated_30,Qwen/Qwen2.5-3B-Instruct,30,2.95,2.65,3.2666666666666666,2.9833333333333334,2.6666666666666665,3.316666666666667,2.9166666666666665,2.6166666666666667,3.2333333333333334,4.016666666666667,3.8333333333333335,4.216666666666667,3.2333333333333334,3.0166666666666666,3.466666666666667
curated_30,Qwen/Qwen2.5-7B-Instruct,30,3.75,3.3833333333333333,4.116666666666666,3.85,3.533333333333333,4.15,3.8,3.466666666666667,4.133333333333334,4.45,4.2,4.683333333333334,3.8666666666666667,3.5833333333333335,4.133333333333334
curated_30,meta-llama/Meta-Llama-3.1-8B-Instruct,30,3.05,2.7666666666666666,3.35,3.2333333333333334,2.933333333333333,3.5166666666666666,3.3333333333333335,3.033333333333333,3.65,4.15,3.9166666666666665,4.366666666666666,3.2,2.9833333333333334,3.4166666666666665
curated_30,mistralai/Mistral-7B-Instruct-v0.3,30,2.85,2.4833333333333334,3.2333333333333334,3.0,2.65,3.35,2.9833333333333334,2.6166666666666667,3.3666666666666667,4.05,3.75,4.35,3.1,2.8333333333333335,3.3666666666666667
