backbone,n_cases,factuality_mean,factuality_ci_lo,factuality_ci_hi,groundedness_mean,groundedness_ci_lo,groundedness_ci_hi,abstain_appropriateness_mean,abstain_appropriateness_ci_lo,abstain_appropriateness_ci_hi,safety_mean,safety_ci_lo,safety_ci_hi,patient_utility_mean,patient_utility_ci_lo,patient_utility_ci_hi
Qwen/Qwen2.5-3B-Instruct,114,3.030701754385965,2.8289473684210527,3.241228070175439,3.039473684210526,2.8333333333333335,3.254385964912281,3.0921052631578947,2.8903508771929824,3.293859649122807,4.140350877192983,4.008771929824562,4.267543859649122,3.289473684210526,3.1403508771929824,3.442982456140351
Qwen/Qwen2.5-7B-Instruct,114,3.9517543859649122,3.758771929824561,4.140350877192983,3.956140350877193,3.776315789473684,4.131578947368421,4.030701754385965,3.8552631578947367,4.206249999999998,4.631578947368421,4.526315789473684,4.732456140350878,3.9035087719298245,3.758771929824561,4.048245614035087
meta-llama/Meta-Llama-3.1-8B-Instruct,114,3.517543859649123,3.307017543859649,3.723684210526316,3.5701754385964914,3.3771929824561404,3.763157894736842,3.6052631578947367,3.3728070175438596,3.829057017543858,4.425438596491228,4.302631578947368,4.548245614035087,3.526315789473684,3.3684210526315788,3.6842105263157894
mistralai/Mistral-7B-Instruct-v0.3,114,2.6578947368421053,2.473684210526316,2.8464912280701755,2.776315789473684,2.6096491228070176,2.942982456140351,2.780701754385965,2.587719298245614,2.973684210526316,4.052631578947368,3.9166666666666665,4.192982456140351,2.942982456140351,2.8201754385964914,3.0701754385964914
