query_id,run_name,nDCG@10,nDCG@20,Recall@10,Recall@20,Recall@100
1,bm25_all_text,0.23788467008251024,0.27228456406410473,0.07207207207207207,0.14414414414414414,0.4144144144144144
2,bm25_all_text,0.2756044555505913,0.4804949647616899,0.04395604395604396,0.0989010989010989,0.35714285714285715
3,bm25_all_text,0.0,0.0,0.0,0.0,0.36363636363636365
4,bm25_all_text,0.35328139009271264,0.24404478133159116,0.08108108108108109,0.08108108108108109,0.2702702702702703
5,bm25_all_text,0.5312687987164689,0.5395502419685033,0.06862745098039216,0.12745098039215685,0.37254901960784315
6,bm25_all_text,0.5512858301074484,0.4264643752878454,0.25,0.3125,0.5
7,bm25_all_text,0.5780426532880827,0.4477907806032015,0.10714285714285714,0.14285714285714285,0.4642857142857143
8,bm25_all_text,0.0,0.01524749554283065,0.0,0.03333333333333333,0.1
9,bm25_all_text,0.31310316581325376,0.42783915882782597,0.06299212598425197,0.14173228346456693,0.3858267716535433
10,bm25_all_text,0.0,0.0,0.0,0.0,0.0
11,bm25_all_text,0.3017372118768164,0.34983434645596034,0.11538461538461539,0.23076923076923078,0.3974358974358974
12,bm25_all_text,0.5631407149337888,0.5497340751076741,0.05405405405405406,0.12612612612612611,0.4594594594594595
13,bm25_all_text,0.07492042106512335,0.08534812338104865,0.045454545454545456,0.09090909090909091,0.3484848484848485
14,bm25_all_text,0.22391966302453664,0.273069304121228,0.1016949152542373,0.15254237288135594,0.3220338983050847
15,bm25_all_text,0.4474128516408456,0.34291082033275905,0.12280701754385964,0.19298245614035087,0.42105263157894735
16,bm25_all_text,0.0,0.02221331432258759,0.0,0.044444444444444446,0.24444444444444444
17,bm25_all_text,0.5914239088489928,0.5004472451633761,0.04216867469879518,0.09036144578313253,0.3253012048192771
18,bm25_all_text,0.3185159451564685,0.3586212539641088,0.07042253521126761,0.14084507042253522,0.352112676056338
19,bm25_all_text,0.36390369896836566,0.4066712976096977,0.07894736842105263,0.14473684210526316,0.5131578947368421
20,bm25_all_text,0.23667470502420543,0.2000346793119086,0.15,0.15,0.5
21,bm25_all_text,0.0,0.0,0.0,0.0,0.14285714285714285
22,bm25_all_text,0.2091364152963924,0.27822849654464094,0.09433962264150944,0.24528301886792453,0.660377358490566
23,bm25_all_text,0.28599364760745766,0.2671953063323732,0.06557377049180328,0.12295081967213115,0.4180327868852459
24,bm25_all_text,0.7239595558567328,0.6227609585746335,0.09782608695652174,0.15217391304347827,0.5
25,bm25_all_text,0.3866487390011009,0.35230318390030174,0.08163265306122448,0.1836734693877551,0.3877551020408163
26,bm25_all_text,0.43101837057630743,0.4241816169934546,0.23076923076923078,0.38461538461538464,0.5384615384615384
27,bm25_all_text,0.10626464196157542,0.2798160154466295,0.029411764705882353,0.10784313725490197,0.4019607843137255
28,bm25_all_text,0.11901919055030148,0.0768110994212967,0.037037037037037035,0.037037037037037035,0.25925925925925924
29,bm25_all_text,0.1427951440361373,0.20185608445335249,0.03529411764705882,0.11764705882352941,0.3411764705882353
30,bm25_all_text,0.36608259422043044,0.3900981939044161,0.12698412698412698,0.2222222222222222,0.5396825396825397
31,bm25_all_text,0.17073594031910488,0.160878907153012,0.11538461538461539,0.1346153846153846,0.5
32,bm25_all_text,0.33523370694237736,0.3184812288726719,0.25,0.25,0.5
33,bm25_all_text,0.09478836436955078,0.06544023194852022,0.05555555555555555,0.05555555555555555,0.3888888888888889
34,bm25_all_text,0.0,0.0,0.0,0.0,0.7272727272727273
35,bm25_all_text,0.1467278441987201,0.22070652873328692,0.043478260869565216,0.15217391304347827,0.43478260869565216
36,bm25_all_text,0.26462022272743835,0.20916188965586918,0.10810810810810811,0.13513513513513514,0.32432432432432434
37,bm25_all_text,0.31247874607869425,0.2760348195615787,0.07894736842105263,0.13157894736842105,0.2894736842105263
38,bm25_all_text,0.16319107502448385,0.16319107502448385,0.25,0.25,0.375
39,bm25_all_text,0.0,0.0,0.0,0.0,0.5
40,bm25_all_text,0.9368830196397312,0.9368830196397312,0.75,0.75,0.75
41,bm25_all_text,0.04759838134537911,0.05354714633357464,0.06451612903225806,0.0967741935483871,0.3548387096774194
42,bm25_all_text,0.6366824387328317,0.6366824387328317,0.5,0.5,0.5
43,bm25_all_text,0.5954104131447967,0.5927025109547592,0.08823529411764706,0.16666666666666666,0.49019607843137253
44,bm25_all_text,0.3542786283990686,0.31924342288825586,0.09615384615384616,0.1346153846153846,0.36538461538461536
45,bm25_all_text,0.5688864998734333,0.582883403331287,0.08695652173913043,0.17391304347826086,0.44565217391304346
46,bm25_all_text,0.8701249883466592,0.7767014669346807,0.17391304347826086,0.30434782608695654,0.717391304347826
47,bm25_all_text,0.2309023550466349,0.26903192813770965,0.057971014492753624,0.11594202898550725,0.43478260869565216
48,bm25_all_text,0.837934737810154,0.7242758395942412,0.2647058823529412,0.4117647058823529,0.8235294117647058
49,bm25_all_text,0.24914519107740887,0.29012618599572787,0.14285714285714285,0.32142857142857145,0.6428571428571429
50,bm25_all_text,0.46054139011912953,0.5494722181176491,0.5,0.75,0.75
51,bm25_all_text,0.39600499312519827,0.44031489166421,0.25,0.4642857142857143,0.8214285714285714
52,bm25_all_text,0.34369669139214537,0.3222819948210804,0.0967741935483871,0.16129032258064516,0.45161290322580644
