query_id,nDCG@10,nDCG@20,Recall@10,Recall@20,Recall@100
1,0.5350675621514879,0.6270242169222533,0.17391304347826086,0.32608695652173914,1.0
2,0.39107884317533975,0.44107146299720124,0.1076923076923077,0.23076923076923078,1.0
3,0.09441335543884259,0.15556351321090756,0.25,0.5,1.0
4,0.3750291291682154,0.4500615818002567,0.3,0.4,1.0
5,0.0737311376716042,0.14142298993167382,0.07894736842105263,0.18421052631578946,1.0
6,0.0,0.2123061088511519,0.0,0.3125,1.0
7,0.5560310162888178,0.46530881986690514,0.23076923076923078,0.38461538461538464,1.0
8,0.4367467095119258,0.4367467095119258,0.6666666666666666,0.6666666666666666,1.0
9,0.26641424495277605,0.3228015518048422,0.08163265306122448,0.1836734693877551,1.0
10,0.0,0.0,0.0,0.0,0.0
11,0.4994334579551877,0.6241897830474888,0.25806451612903225,0.5161290322580645,1.0
12,0.4134665022770391,0.4716281719346852,0.11764705882352941,0.2549019607843137,1.0
13,0.07165244091859972,0.16099513165273294,0.043478260869565216,0.17391304347826086,1.0
14,0.5402395677816983,0.48905022564711803,0.2631578947368421,0.42105263157894735,1.0
15,0.12182378423240449,0.13541439441033842,0.08333333333333333,0.16666666666666666,1.0
16,0.0,0.0,0.0,0.0,1.0
17,0.3958215425622811,0.3258457944104813,0.12962962962962962,0.2037037037037037,1.0
18,0.2645649039490493,0.3029977008553179,0.16,0.32,1.0
19,0.1331896237946325,0.27698671575605743,0.07692307692307693,0.23076923076923078,1.0
20,0.3369723504226218,0.4280483836127019,0.3,0.5,1.0
21,0.0,0.0,0.0,0.0,1.0
22,0.24318401422982475,0.3557972042417053,0.14285714285714285,0.34285714285714286,1.0
23,0.3235161377587054,0.42340117830382973,0.1568627450980392,0.29411764705882354,1.0
24,0.5919984584072665,0.6263238181277551,0.15217391304347827,0.30434782608695654,1.0
25,0.10493365119522785,0.1252371988249897,0.10526315789473684,0.21052631578947367,1.0
26,0.03411790164963979,0.052210968786812265,0.07142857142857142,0.14285714285714285,1.0
27,0.2541671766611121,0.3251462463525526,0.12195121951219512,0.24390243902439024,1.0
28,0.20134897545257882,0.33420766707968946,0.14285714285714285,0.3333333333333333,1.0
29,0.33663102724165034,0.3519322365258802,0.13793103448275862,0.27586206896551724,1.0
30,0.3345834454131873,0.32795207452551034,0.20588235294117646,0.29411764705882354,1.0
31,0.4399863802959395,0.407002389899846,0.23076923076923078,0.34615384615384615,1.0
32,0.1412301481176035,0.2835201937886571,0.16666666666666666,0.5,1.0
33,0.6102766247064297,0.6775252685693809,0.5714285714285714,0.7142857142857143,1.0
34,0.0,0.08123476207817529,0.0,0.25,1.0
35,0.3427813465084036,0.3753581590717491,0.2,0.45,1.0
36,0.3482469035973499,0.45787279564365946,0.4166666666666667,0.5833333333333334,1.0
37,0.2913302224294961,0.3927251980201849,0.36363636363636365,0.5454545454545454,1.0
38,0.5264778120952306,0.5709469086933727,0.6666666666666666,1.0,1.0
39,0.4911492931622974,0.4911492931622974,1.0,1.0,1.0
40,0.0,0.11047239495909744,0.0,0.3333333333333333,1.0
41,0.557509474741355,0.5347152962060964,0.5454545454545454,0.5454545454545454,1.0
42,0.0,0.0,0.0,0.0,1.0
43,0.34851352540092045,0.4526874154181515,0.1,0.26,1.0
44,0.8482378089219645,0.7478257357417935,0.42105263157894735,0.6842105263157895,1.0
45,0.5944553905869441,0.6505889878294552,0.21951219512195122,0.4146341463414634,1.0
46,0.22082856303278728,0.24691075840232218,0.09090909090909091,0.18181818181818182,1.0
47,0.05368086260797993,0.08053987912479421,0.06666666666666667,0.13333333333333333,1.0
48,0.578398233713278,0.5368512291980465,0.21428571428571427,0.42857142857142855,1.0
49,0.30743602699200284,0.4112483150512476,0.2777777777777778,0.5,1.0
50,0.7239881284685281,0.8546260818460828,0.5555555555555556,0.8888888888888888,1.0
51,0.5499298223424114,0.4765170135379758,0.21739130434782608,0.30434782608695654,1.0
52,0.5625271253788621,0.5962360388003278,0.35714285714285715,0.5,1.0
53,0.33309427195187463,0.45997159541317656,0.4,0.6,1.0
54,0.3101829787935867,0.30031365063662074,0.16666666666666666,0.26666666666666666,1.0
55,0.04204197716114707,0.04204197716114707,0.16666666666666666,0.16666666666666666,1.0
56,0.5715215778550405,0.5126890734656548,0.14285714285714285,0.2857142857142857,1.0
57,0.07445519427445747,0.2147466991795148,0.16666666666666666,0.3333333333333333,1.0
58,0.18493367515667056,0.3016160295898933,0.09615384615384616,0.21153846153846154,1.0
59,0.525800255508677,0.5967928141429013,0.13953488372093023,0.3023255813953488,1.0
60,0.40904841311354756,0.4900503003999356,0.1388888888888889,0.3333333333333333,1.0
61,0.09549450419132542,0.16702488233335103,0.2,0.3333333333333333,1.0
62,0.12582000638962362,0.20571005935803308,0.07317073170731707,0.21951219512195122,1.0
63,0.1482072591726213,0.1482072591726213,0.2,0.2,1.0
64,0.31568280509801205,0.37331133005751166,0.1111111111111111,0.25925925925925924,1.0
65,0.0,0.0,0.0,0.0,1.0
66,0.0,0.0,0.0,0.0,0.0
67,0.6469646452007912,0.7546127293739151,0.25,0.5416666666666666,1.0
68,0.3298527403191206,0.4872954129599011,0.17777777777777778,0.3333333333333333,1.0
69,0.0,0.0,0.0,0.0,0.0
70,0.5474648168218381,0.5474648168218381,0.75,0.75,1.0
71,0.0,0.0,0.0,0.0,1.0
