query_id,run_name,nDCG@10,nDCG@20,Recall@10,Recall@20,Recall@100
1,dense__BAAI__bge_base_en_v1.5__text_all,0.30499122482544827,0.24291469929393872,0.05194805194805195,0.09090909090909091,0.37662337662337664
2,dense__BAAI__bge_base_en_v1.5__text_all,0.5727555047321237,0.5202223940625521,0.03571428571428571,0.07738095238095238,0.34523809523809523
3,dense__BAAI__bge_base_en_v1.5__text_all,0.3352058469572673,0.26427058752724253,0.09615384615384616,0.1346153846153846,0.36538461538461536
4,dense__BAAI__bge_base_en_v1.5__text_all,0.31879392588472627,0.2522605717458261,0.12,0.12,0.36
5,dense__BAAI__bge_base_en_v1.5__text_all,0.5138477875138753,0.4157916685000241,0.10144927536231885,0.14492753623188406,0.3333333333333333
6,dense__BAAI__bge_base_en_v1.5__text_all,0.09493806707125478,0.14642697475092242,0.047619047619047616,0.10714285714285714,0.30952380952380953
7,dense__BAAI__bge_base_en_v1.5__text_all,0.1854458668902527,0.2025327712645208,0.033707865168539325,0.06741573033707865,0.30337078651685395
8,dense__BAAI__bge_base_en_v1.5__text_all,0.3893456994837235,0.26447802406203075,0.0821917808219178,0.0958904109589041,0.3424657534246575
9,dense__BAAI__bge_base_en_v1.5__text_all,0.13426558173262215,0.14748983988619024,0.02027027027027027,0.033783783783783786,0.1554054054054054
10,dense__BAAI__bge_base_en_v1.5__text_all,0.46200795739654943,0.500091994949464,0.2,0.34285714285714286,0.7428571428571429
11,dense__BAAI__bge_base_en_v1.5__text_all,0.11965140339054489,0.09199756695190053,0.031746031746031744,0.047619047619047616,0.20634920634920634
12,dense__BAAI__bge_base_en_v1.5__text_all,0.6057473966224557,0.5066734027927864,0.07563025210084033,0.1092436974789916,0.4117647058823529
13,dense__BAAI__bge_base_en_v1.5__text_all,0.24454640699786684,0.1906872368271962,0.03333333333333333,0.05,0.2833333333333333
14,dense__BAAI__bge_base_en_v1.5__text_all,0.34824445808151594,0.2725802223557573,0.06930693069306931,0.09900990099009901,0.27722772277227725
15,dense__BAAI__bge_base_en_v1.5__text_all,0.0,0.04718575615435012,0.0,0.029850746268656716,0.19402985074626866
16,dense__BAAI__bge_base_en_v1.5__text_all,0.1797139691406316,0.1795154919928087,0.06521739130434782,0.13043478260869565,0.34782608695652173
17,dense__BAAI__bge_base_en_v1.5__text_all,0.17666732217567327,0.22148468938458238,0.034722222222222224,0.05555555555555555,0.2152777777777778
18,dense__BAAI__bge_base_en_v1.5__text_all,0.14085833279019547,0.25553054619341076,0.02631578947368421,0.08771929824561403,0.30701754385964913
19,dense__BAAI__bge_base_en_v1.5__text_all,0.6119986254083998,0.4752703568873769,0.06666666666666667,0.1,0.28888888888888886
20,dense__BAAI__bge_base_en_v1.5__text_all,0.20113841141082234,0.1805750607630342,0.058823529411764705,0.09803921568627451,0.29411764705882354
21,dense__BAAI__bge_base_en_v1.5__text_all,0.0,0.0396210670558156,0.0,0.045454545454545456,0.13636363636363635
22,dense__BAAI__bge_base_en_v1.5__text_all,0.42040374803644787,0.37978676321955657,0.06666666666666667,0.11428571428571428,0.45714285714285713
23,dense__BAAI__bge_base_en_v1.5__text_all,0.1775402938398755,0.17343515121567699,0.029850746268656716,0.05223880597014925,0.19402985074626866
24,dense__BAAI__bge_base_en_v1.5__text_all,0.14132774622080047,0.189603982930985,0.033707865168539325,0.07865168539325842,0.25842696629213485
25,dense__BAAI__bge_base_en_v1.5__text_all,0.0,0.0,0.0,0.0,0.06666666666666667
