query_id,nDCG@10,nDCG@20,Recall@10,Recall@20,Recall@100
1,0.16082507495339965,0.18086279624135385,0.03896103896103896,0.11688311688311688,0.35064935064935066
2,0.4104245294089187,0.41918265716520936,0.072,0.128,0.384
3,0.07307367417534505,0.07307367417534505,0.25,0.25,0.5
4,0.0,0.06902992022898428,0.0,0.08,0.4
5,0.6615677303655692,0.5807355994310882,0.10666666666666667,0.2,0.48
6,0.16358153634679057,0.18967006082241195,0.2222222222222222,0.3333333333333333,0.3333333333333333
7,0.10102734339329418,0.13290246747888362,0.09523809523809523,0.19047619047619047,0.47619047619047616
8,0.0,0.0,0.0,0.0,0.0
9,0.45111422419952013,0.4702359916538189,0.075,0.1375,0.5125
10,0.0,0.0,0.0,0.0,0.0
11,0.33225136343755873,0.363033754069083,0.18604651162790697,0.3023255813953488,0.3953488372093023
12,0.6405914129030107,0.5141518624446617,0.06521739130434782,0.10869565217391304,0.43478260869565216
13,0.09934243270741719,0.14201984704458,0.09523809523809523,0.16666666666666666,0.5238095238095238
14,0.1246140309399033,0.1785575538723042,0.05405405405405406,0.16216216216216217,0.32432432432432434
15,0.3881974179519485,0.35697056052466064,0.13333333333333333,0.2,0.43333333333333335
16,0.0,0.017878823648629225,0.0,0.047619047619047616,0.38095238095238093
17,0.3896281192930761,0.42880746060408464,0.03937007874015748,0.09448818897637795,0.2992125984251969
18,0.2435522702101235,0.19448743320335146,0.075,0.1,0.375
19,0.24151620856827088,0.2766583402449578,0.125,0.25,0.4166666666666667
20,0.0,0.0870655257136008,0.0,0.125,0.5625
21,0.0,0.0,0.0,0.0,0.0
22,0.2917696088499372,0.39035216807342277,0.2777777777777778,0.4444444444444444,0.6111111111111112
23,0.2889826632880903,0.2360417049428136,0.08421052631578947,0.10526315789473684,0.4
24,0.7748015725678192,0.7147035242775522,0.09782608695652174,0.18478260869565216,0.5978260869565217
25,0.424926013816671,0.40100480167255287,0.09302325581395349,0.20930232558139536,0.5348837209302325
26,0.5420384024107363,0.6402997986719692,0.5555555555555556,0.6666666666666666,0.7777777777777778
27,0.2067991448055616,0.2351818726456087,0.053763440860215055,0.10752688172043011,0.34408602150537637
28,0.0,0.0,0.0,0.0,0.2537313432835821
29,0.0241781676919631,0.07069399260483278,0.01694915254237288,0.06779661016949153,0.3728813559322034
30,0.32790854537423925,0.3447101002181961,0.20689655172413793,0.27586206896551724,0.6206896551724138
31,0.08834125805595071,0.12030697012218179,0.1111111111111111,0.2222222222222222,0.5
32,0.08703245752405495,0.08703245752405495,0.2,0.2,0.4
33,0.35969100690634176,0.4261708086415614,0.21052631578947367,0.47368421052631576,0.6842105263157895
34,0.23700867326845226,0.3282450629640161,0.4444444444444444,0.7777777777777778,0.8888888888888888
35,0.1467278441987201,0.14596473113136266,0.04878048780487805,0.0975609756097561,0.34146341463414637
36,0.10030274924863171,0.11754978297972958,0.06451612903225806,0.0967741935483871,0.3548387096774194
37,0.06643871027537931,0.06375619228385875,0.08333333333333333,0.08333333333333333,0.25
38,0.0,0.0,0.0,0.0,0.3333333333333333
39,0.0,0.0,0.0,0.0,0.0
40,0.6131471927654584,0.6131471927654584,0.5,0.5,0.5
41,0.14515482955611908,0.16195930967460778,0.23076923076923078,0.3076923076923077,0.38461538461538464
42,0.0,0.0,0.0,0.0,0.0
43,0.5315796557430236,0.47516388230106343,0.1323529411764706,0.20588235294117646,0.5735294117647058
44,0.22009176629808017,0.22009176629808017,0.1,0.1,0.2
45,0.07336392209936005,0.11983271750127836,0.025,0.075,0.25
46,0.48649183542828267,0.4237587338675987,0.15151515151515152,0.24242424242424243,0.5454545454545454
47,0.10635004704127156,0.15210406830808054,0.07142857142857142,0.21428571428571427,0.4642857142857143
48,0.4124497136428909,0.4387828025461208,0.125,0.3125,0.71875
49,0.10747866137789959,0.19193479840843966,0.13333333333333333,0.26666666666666666,0.5333333333333333
50,0.325027967813913,0.464243082748806,0.25,0.5,0.75
51,0.27294313420794514,0.45715103061708867,0.23809523809523808,0.5714285714285714,0.8571428571428571
52,0.3617337709036371,0.3026537020996393,0.1875,0.1875,0.4375
53,0.0,0.0,0.0,0.0,0.0
54,0.4707036894103765,0.4381885173875575,0.25806451612903225,0.3548387096774194,0.5806451612903226
55,0.8262346571285599,0.8262346571285599,0.5,0.5,0.5
56,0.5471355966284414,0.594248616987916,0.15789473684210525,0.3684210526315789,0.7894736842105263
57,0.09518664005696183,0.0868696552610287,0.14285714285714285,0.14285714285714285,0.5
58,0.5453668764168821,0.5842210696747717,0.21621621621621623,0.40540540540540543,0.6486486486486487
59,0.446184751088582,0.3466210239619536,0.0625,0.09375,0.3020833333333333
60,0.9575861412006988,0.8171127385634497,0.1388888888888889,0.2361111111111111,0.5694444444444444
