query_id,run_name,nDCG@10,nDCG@20,Recall@10,Recall@20,Recall@100
1,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.4086283796452914,0.34333727250500606,0.09090909090909091,0.15584415584415584,0.2987012987012987
2,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.316872151144035,0.33496765875721657,0.04,0.08,0.336
3,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.5983950669742497,0.4575543603271084,0.10869565217391304,0.15217391304347827,0.4782608695652174
4,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.1388624438735545,0.10087900944579106,0.038461538461538464,0.038461538461538464,0.23076923076923078
5,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.6127844274778504,0.5160914937948318,0.07216494845360824,0.1134020618556701,0.36082474226804123
6,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.41378821221019485,0.3843528406434072,0.05747126436781609,0.10344827586206896,0.40229885057471265
7,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.0,0.0,0.0,0.0,0.1568627450980392
8,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.2784805894273036,0.1967590601672268,0.075,0.1,0.15
9,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.16618751601472662,0.206306454882875,0.02459016393442623,0.05737704918032787,0.22131147540983606
10,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.0788489468562987,0.09775190696911658,0.06666666666666667,0.13333333333333333,0.5
11,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.35129255143284777,0.2741647655920673,0.10588235294117647,0.15294117647058825,0.4
12,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.3681450304434362,0.42471872617015394,0.04132231404958678,0.09090909090909091,0.34710743801652894
13,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.0,0.013395992953564136,0.0,0.022727272727272728,0.2727272727272727
14,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.0,0.0,0.0,0.0,0.07692307692307693
15,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.21682519134158906,0.20862647795229963,0.041666666666666664,0.06944444444444445,0.2916666666666667
16,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.12264041907117756,0.19842021084117253,0.07692307692307693,0.1794871794871795,0.46153846153846156
17,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.2573607078335191,0.21173856076789752,0.056179775280898875,0.07865168539325842,0.2808988764044944
18,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.23530180068011042,0.3111194138514481,0.046875,0.078125,0.3046875
19,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.19023702762037387,0.3432546546252945,0.039473684210526314,0.11842105263157894,0.2631578947368421
20,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.22009176629808014,0.21221176056767893,0.023255813953488372,0.06976744186046512,0.5348837209302325
21,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.6683063269107927,0.5008760643218186,0.18181818181818182,0.24242424242424243,0.5757575757575758
22,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.5202834578672213,0.4987076196934018,0.07,0.13,0.45
23,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.048217497477688116,0.055280011037680404,0.02040816326530612,0.04081632653061224,0.20408163265306123
24,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.4284837556435123,0.3356324507501897,0.058823529411764705,0.08823529411764706,0.28431372549019607
25,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.0,0.0900160943057286,0.0,0.14285714285714285,0.19047619047619047
26,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.35940858709698914,0.3634422680674553,0.09090909090909091,0.16666666666666666,0.3787878787878788
27,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.08118409007004115,0.10033915430953147,0.02608695652173913,0.043478260869565216,0.20869565217391303
28,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.02208474115146301,0.04976278074675819,0.009345794392523364,0.018691588785046728,0.11214953271028037
29,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.23604253347309453,0.19016529418759184,0.056338028169014086,0.08450704225352113,0.352112676056338
30,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.38549032603304273,0.47494330259326456,0.08823529411764706,0.1568627450980392,0.4215686274509804
31,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.16063328017505185,0.11610305755647779,0.027777777777777776,0.037037037037037035,0.18518518518518517
32,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.6618313225363274,0.6040255618229076,0.2608695652173913,0.391304347826087,0.5217391304347826
33,dense__sentence_transformers__all_MiniLM_L6_v2__text_all,0.28634598975246917,0.21954852484755744,0.05128205128205128,0.07692307692307693,0.23076923076923078
